Scene,Key,KeyID,en,vn,
login,login_btn,login.login_btn,Sign in,Đăng nhập,
login,email,login.email,Username/Email,Email/Tài khoản,
login,password,login.password,Password,Mật khẩu,
login,forgot_pass,login.forgot_pass,Forgot password,Quên mật khẩu,
contact,page_title,contact.page_title,Leads,Khách hàng tiềm năng,
contact,contact_customer,contact.contact_customer,Leads,Khách hàng tiềm năng,
contact,fullname,contact.fullname,Fullname,Họ tên,
contact,phone,contact.phone,Phone number,Số điện thoại ,
contact,add_contact,contact.add_contact,Add Contact,Thêm liên hệ,
contact,page,contact.page,Page,Trang,
contact,search,contact.search,Search,Tìm kiếm,
contact,created_at,contact.created_at,Created at,Ngày thêm,
contact,assign_to,contact.assign_to,Assigned to,Phụ trách,
contact,assign_to_title,contact.assign_to_title,Assign to,Phụ trách,
contact,unassign_to,contact.unassign_to,Unassign,Chưa phụ trách,
contact,unassign_btn,contact.unassign_btn,Unassign,Trả contact ,
contact,assign_contacts,contact.assign_contacts,Assign Contact,Phân liên hệ,
contact,calls,contact.calls,Calls,Lần gọi,
contact,stage,contact.stage,Stage,Trạng thái,
contact,status,contact.status,Status,Cuộc gọi,
contact,entry,contact.entry,contacts,số điện thoại,
contact,filter,contact.filter,Filter,Bộ lọc,
contact,clear,contact.clear,Clear all filters,Xoá bộ lọc,
contact,cancel,contact.cancel,Cancel,Huỷ,
contact,ok,contact.ok,OK,OK,
contact,period,contact.period,Periods,Khoảng thời gian,
contact,quick_select,contact.quick_select,Quick select,Chọn nhanh,
contact,day,contact.day,day,ngày,
contact,days,contact.days,days,ngày,
contact,week,contact.week,week,tuần,
contact,weeks,contact.weeks,weeks,tuần,
contact,month,contact.month,month,tháng,
contact,month,contact.month,months,tháng,
contact,year,contact.year,year,năm,
contact,years,contact.years,years,năm,
contact,auto_assign,contact.auto_assign,Auto assign,Giao tự động,Phân đơn tự động
contact,add_telesale,contact.add_telesale,Add Telesale,Thêm telesale,
contact,contact_not_assign,contact.contact_not_assign,Unassigned,số chưa giao,
contact,import_contact,contact.import_contact,Import Contact,Import liên hệ,
contact,select_campaign,contact.select_campaign,Select Campaign,Chọn chiến dịch,
contact,campaign,contact.campaign,Campaign,Chiến dịch,
contact,empty_records,contact.empty_records,Have no contacts yet,Không tồn tại bản ghi nào,
contact,select_telesale,contact.select_telesale,Select Telesale,Chọn Telesale,
contact,find_telesale,contact.find_telesale,Find Telesale,Nhập Telesale,
contact,required_users,contact.required_users,Please select a telesale,Vui lòng chọn telesale,
contact,required_quantity,contact.required_quantity,Quantity is required,Vui lòng nhập số lượng,
contact,quantity_must_number,contact.quantity_must_number,Quantiy must be a number,Vui lòng nhập số,
contact,sales_must_lte_quantity,contact.sales_must_lte_quantity,Sales must less than quantites,Số lượng sales cần <= số liên hệ,
contact,quantity_must_lte_quantity_unassign,contact.quantity_must_lte_quantity_unassign,Greater than real quanties,Vượt quá số lượng cho phép,
contact,my_contact,contact.my_contact,My contact,Khách hàng của tôi,
contact,export_contact,contact.export_contact,Export contact,Xuất file thông tin liên hệ,
contact,export_order,contact.export_order,Export order,Xuất file đơn hàng,
contact,deliveryDate,contact.deliveryDate,Delivery,Hẹn giao,
contact,export,contact.export,Export,Xuất file,
contact,callTime,contact.callTime,Last call,Lần gọi cuối,
contact,note,contact.note,Note,Ghi chú,
contact,all,contact.all,All,Tất cả,
contact,appointment,contact.appointment,Appointment,Lịch hẹn,
contact,equal,contact.equal,Equal,Bằng,
contact,more,contact.more,Greater than or equal,Lớn hơn hoặc bằng,
contact,less,contact.less,Less than or equal ,Nhỏ hơn hoặc bằng,
contact,between,contact.between,Between,Khoảng,
contact,greater_than_or_equal_0,contact.greater_than_or_equal_0,Input number greater than or equal 0,Nhập số lớn hơn hoặc bằng 0,
contact,greater_than_or_equal_1,contact.greater_than_or_equal_1,Should input number greater than or equal 1,Nên nhập số lớn hơn hoặc bằng 1,
contact,shoul_input_less_than_100,contact.shoul_input_less_than_100,Should input number less than 100,Nên nhập số nhỏ hơn 100,
contact,value_integer,contac.value_integer,The value is not an integer,Giá trị nhập không phải là số nguyên,
contact,input_number,contact.input_number,Input Number,Nhập số,
contact,to,contact.to,To,Đến,
contact,from,contact.from,From,Từ,
contact,check_filed,contact.check_filed,Please check this field,Vui lòng kiểm tra lại trường này,
contact-created-msg,success,contact-created-msg.success,Successful,Thêm liên hệ thành công,
contact-created-msg,fail,contact-created-msg.fail,Fail,Thêm liên hệ thất bại,
contact-detail,campaign,contact-detail.campaign,Campaign,Chiến dịch,
contact-detail,date,contact-detail.date,Date,Ngày tạo,
contact-detail,date_time,contact-detail.date_time,Date & time,Ngày giờ,
contact-detail,status,contact-detail.status,Status,Trạng thái,
contact-detail,created_by,contact-detail.created_by,Created by,Người thêm,
contact-detail,summary,contact-detail.summary,Summary,Tổng quan,
contact-detail,key_field,contact-detail.key_field,Key Field,Thông tin,
contact-detail,fullname,contact-detail.fullname,Fullname,Họ tên,
contact-detail,phone,contact-detail.phone,Phone number ,Số điện thoại,
contact-detail,assigned_to,contact-detail.assigned_to,Assigned to,Phụ trách,
contact-detail,stage,contact-detail.stage,Stage,Trạng thái,
contact-detail,contact_state,contact-detail.contact_state,Contact states,Trạng thái liên hệ,
contact-detail,keyfield_source,contact-detail.keyfield_source,Source,Nguồn,
contact-detail,last_contact,contact-detail.last_contact,Last contact on,Lần cuối liên hệ,
contact-detail,product,contact-detail.product,Product,Sản phẩm,
contact-detail,product_name,contact-detail.product_name,Name,Tên,
contact-detail,product_supplier,contact-detail.product_supplier,Supplier,Nhà cung cấp,
contact-detail,product_source,contact-detail.product_source,Source,Nguồn,
contact-detail,product_brand,contact-detail.product_brand,Brand,Nhãn hiệu,
contact-detail,product_default_price,contact-detail.product_default_price,Default price,Giá,
contact-detail,product_inventory,contact-detail.product_inventory,Inventory,Số tồn kho,
contact-detail,product_size,contact-detail.product_size,Size,Kích cỡ,
contact-detail,product_color,contact-detail.product_color,Color,Màu sắc,
contact-detail,product_desc,contact-detail.product_desc,Description,Mô tả,
contact-detail,activity,contact-detail.activity,Activities,Hoạt động,
contact-detail,add_event,contact-detail.add_event,Add event,Thêm sự kiện,
contact-detail,added_by,contact-detail.added_by,Added by,Thêm bởi ,
contact-detail,city,contact-detail.city,City,Tỉnh/thành phố,
contact-detail,district,contact-detail.district,Province,Quận/huyện,
contact-detail,address_detail,contact-detail.address_detail,Complete Address,Địa chỉ chi tiết,
contact-detail,properties,contact-detail.properties,Properties,Thuộc tính,
contact-detail,unit_price,contact-detail.unit_price,Unit price,Giá đơn vị,
contact-detail,quantity,contact-detail.quantity,Quantity,Số lượng,
contact-detail,price,contact-detail.price,Price,Giá,
contact-detail,select_property,contact-detail.select_property,Select property,Chọn thuộc tính,
contact-detail,add_property,contact-detail.add_property,Add properties,Thêm thuộc tính,
contact-detail,add_property_warning,contact-detail.add_property_warning,All fields are required !,Bạn cần điển đầy đủ thông tin!,
contact-detail,total_amount,contact-detail.total_amount,Total amount,Tổng giá,
